Run,Assay Type,AssemblyName,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,env_broad_scale,env_local_scale,env_medium,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Host,Instrument,Isolate,Isolation_source,lat_lon,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,source_uvig,SRA Study,virus_enrich_appr
SRR12768720,Targeted-Capture,NC_045512.2,299,4830499050,PRJNA667180,SAMN16361124,MIUVIG.host-associated,496639457,"BEIJING DITAN HOSPITAL, CAPITAL MEDICAL UNIVERSITY",2020,public,"bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",not applicable,not applicable,not applicable,SRX9239488,China,Asia,China: Beijing,Homo sapiens,Illumina NovaSeq 6000,D128,sputum,39.9 N 116.4 E,Lib100,PAIRED,Hybrid Selection,METATRANSCRIPTOMIC,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,2020-10-03T00:00:00Z,S100,sequence-targeted RNA metagenome,SRP286269,targeted sequence capture
SRR12768721,Targeted-Capture,NC_045512.2,299,2305975050,PRJNA667180,SAMN16361123,MIUVIG.host-associated,223661998,"BEIJING DITAN HOSPITAL, CAPITAL MEDICAL UNIVERSITY",2020,public,"bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",not applicable,not applicable,not applicable,SRX9239487,China,Asia,China: Beijing,Homo sapiens,Illumina NovaSeq 6000,D110,sputum,39.9 N 116.4 E,Lib099,PAIRED,Hybrid Selection,METATRANSCRIPTOMIC,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,2020-10-03T00:00:00Z,S099,sequence-targeted RNA metagenome,SRP286269,targeted sequence capture
SRR12768722,Targeted-Capture,NC_045512.2,299,64225780950,PRJNA667180,SAMN16361122,MIUVIG.host-associated,9175117303,"BEIJING DITAN HOSPITAL, CAPITAL MEDICAL UNIVERSITY",2020,public,"bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",not applicable,not applicable,not applicable,SRX9239486,China,Asia,China: Beijing,Homo sapiens,Illumina NovaSeq 6000,D4,pharyngeal swab,39.9 N 116.4 E,Lib098,PAIRED,Hybrid Selection,METATRANSCRIPTOMIC,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,2020-10-04T00:00:00Z,S098,sequence-targeted RNA metagenome,SRP286269,targeted sequence capture
SRR12768723,Targeted-Capture,NC_045512.2,299,2508668550,PRJNA667180,SAMN16361121,MIUVIG.host-associated,287714469,"BEIJING DITAN HOSPITAL, CAPITAL MEDICAL UNIVERSITY",2020,public,"bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",not applicable,not applicable,not applicable,SRX9239485,China,Asia,China: Beijing,Homo sapiens,Illumina NovaSeq 6000,D29,sputum,39.9 N 116.4 E,Lib097,PAIRED,Hybrid Selection,METATRANSCRIPTOMIC,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,2020-10-03T00:00:00Z,S097,sequence-targeted RNA metagenome,SRP286269,targeted sequence capture
SRR12768724,Targeted-Capture,NC_045512.2,299,815170950,PRJNA667180,SAMN16361120,MIUVIG.host-associated,79161763,"BEIJING DITAN HOSPITAL, CAPITAL MEDICAL UNIVERSITY",2020,public,"bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",not applicable,not applicable,not applicable,SRX9239484,China,Asia,China: Beijing,Homo sapiens,Illumina NovaSeq 6000,D122,feces,39.9 N 116.4 E,Lib096,PAIRED,Hybrid Selection,METATRANSCRIPTOMIC,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,2020-10-03T00:00:00Z,S096,sequence-targeted RNA metagenome,SRP286269,targeted sequence capture
SRR12768725,Targeted-Capture,NC_045512.2,299,1059463500,PRJNA667180,SAMN16361119,MIUVIG.host-associated,93661931,"BEIJING DITAN HOSPITAL, CAPITAL MEDICAL UNIVERSITY",2020,public,"bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",not applicable,not applicable,not applicable,SRX9239483,China,Asia,China: Beijing,Homo sapiens,Illumina NovaSeq 6000,D46,pharyngeal swab,39.9 N 116.4 E,Lib095,PAIRED,Hybrid Selection,METATRANSCRIPTOMIC,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,2020-10-03T00:00:00Z,S095,sequence-targeted RNA metagenome,SRP286269,targeted sequence capture
SRR12768726,Targeted-Capture,NC_045512.2,299,4845893850,PRJNA667180,SAMN16361118,MIUVIG.host-associated,477768339,"BEIJING DITAN HOSPITAL, CAPITAL MEDICAL UNIVERSITY",2020,public,"bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",not applicable,not applicable,not applicable,SRX9239482,China,Asia,China: Beijing,Homo sapiens,Illumina NovaSeq 6000,D60,feces,39.9 N 116.4 E,Lib094,PAIRED,Hybrid Selection,METATRANSCRIPTOMIC,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,2020-10-03T00:00:00Z,S094,sequence-targeted RNA metagenome,SRP286269,targeted sequence capture
SRR12768727,Targeted-Capture,NC_045512.2,299,1796311650,PRJNA667180,SAMN16361117,MIUVIG.host-associated,187572857,"BEIJING DITAN HOSPITAL, CAPITAL MEDICAL UNIVERSITY",2020,public,"bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",not applicable,not applicable,not applicable,SRX9239481,China,Asia,China: Beijing,Homo sapiens,Illumina NovaSeq 6000,D94,sputum,39.9 N 116.4 E,Lib093,PAIRED,Hybrid Selection,METATRANSCRIPTOMIC,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,2020-10-03T00:00:00Z,S093,sequence-targeted RNA metagenome,SRP286269,targeted sequence capture
SRR12768728,Targeted-Capture,NC_045512.2,299,1573197300,PRJNA667180,SAMN16361116,MIUVIG.host-associated,146520113,"BEIJING DITAN HOSPITAL, CAPITAL MEDICAL UNIVERSITY",2020,public,"bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",not applicable,not applicable,not applicable,SRX9239480,China,Asia,China: Beijing,Homo sapiens,Illumina NovaSeq 6000,D27,sputum,39.9 N 116.4 E,Lib092,PAIRED,Hybrid Selection,METATRANSCRIPTOMIC,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,2020-10-03T00:00:00Z,S092,sequence-targeted RNA metagenome,SRP286269,targeted sequence capture
SRR12768729,Targeted-Capture,NC_045512.2,299,7845718950,PRJNA667180,SAMN16361115,MIUVIG.host-associated,794361916,"BEIJING DITAN HOSPITAL, CAPITAL MEDICAL UNIVERSITY",2020,public,"bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",not applicable,not applicable,not applicable,SRX9239479,China,Asia,China: Beijing,Homo sapiens,Illumina NovaSeq 6000,D26,sputum,39.9 N 116.4 E,Lib091,PAIRED,Hybrid Selection,METATRANSCRIPTOMIC,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,2020-10-03T00:00:00Z,S091,sequence-targeted RNA metagenome,SRP286269,targeted sequence capture
